name|group|price|rent costs|mortgage value|house cost
Mediterranean Avenue|Dark Purple|60|2,10,30,90,160,250|30|50|2
Baltic Avenue|Dark Purple|60|4,20,60,180,320,450|30|50|4
Oriental Avenue|Light Blue|100|6,30,90,270,400,550|50|50|7
Vermont Avenue|Light Blue|100|6,30,90,270,400,550|50|50|9
Connecticut Avenue|Light Blue|120|8,40,100,300,450,600|60|50|10
St. Charles Place|Pink|140|10,50,150,450,625,750|70|100|12
States Avenue|Pink|140|10,50,50,150,450,635|70|100|14
Virginia Avenue|Pink|160|12,60,180,500,700,900|80|100|15
St. James Place|Orange|180|14,70,200,550,750,950|90|100|17
Tennessee Avenue|Orange|180|14,70,200,550,750,950|90|100|19
New York Avenue|Orange|200|16,80,220,600,800,1000|100|100|20
Kentucky Avenue|Red|220|18,90,250,700,875,1050|110|150|22
Indiana Avenue|Red|220|18,90,250,700,875,1050|110|150|24
Illinois Avenue|Red|240|20,100,300,750,925,1100|120|150|25
Atlantic Avenue|Yellow|260|22,110,330,800,975,1150|130|150|27
Ventnor Avenue|Yellow|260|22,110,330,800,975,1150|130|150|28
Marvin Gardens|Yellow|280|24,120,360,850,1025,1200|140|150|29
Pacific Avenue|Green|300|26,130,390,900,1100,1275|150|200|30
North Carolina Avenue|Green|300|26,130,390,900,1100,1275|150|200|32
Pennsylvania Avenue|Green|320|28,150,450,1000,1200,1400|160|200|33|35
Park Place|Dark Blue|350|35,175,500,1100,1300,1500|175|200|38
Boardwalk|Dark Blue|400|50,200,600,1400,1700,2000|200|200|40
Reading Railroad|Stations|200|25,50,100,200|100|0|6
Pennsylvania Railroad|Stations|200|25,50,100,200|100|0|16
B. & O. Railroad|Stations|200|25,50,100,200|100|0|26
Short Line|Stations|200|25,50,100,200|100|0|36
Electric Company|Utilities|150|0,0,0,0,0|75|0|13
Water Works|Utilities|150|0,0,0,0,0|75|0|29
